transaction_id,user_id,amount,location,merchant_category,timestamp,is_fraud
9ab8180f-5647-4889-81c4-f6187925b7d5,137,9491.57,Delhi,Food,2026-01-01 03:33:50,0
b8a87d84-1f3a-44ad-a8ef-04bd300c59bd,97,572.95,Delhi,Food,2026-01-01 03:57:59,0
83e44f13-2959-45c1-b77e-6309570e9fa3,157,28749.05,Bangalore,Utilities,2026-01-01 04:25:33,1
3340f08f-e798-4b29-94e5-ad258c744f88,22,20979.24,Delhi,Utilities,2026-01-01 05:40:44,1
e1ea1d2e-9874-4952-93ed-4b5c2c4276b2,31,11755.2,Bangalore,Groceries,2026-01-01 07:37:33,0
55c94df7-1081-49b5-8757-8291f3abbd8b,373,3785.7,Kolkata,Food,2026-01-01 08:11:33,0
582d1e50-fda6-4971-97bd-21248a994696,400,3442.78,Delhi,Groceries,2026-01-01 08:37:19,0
006707ac-8b11-437f-9b0a-292a8eeea480,485,2707.55,Mumbai,Clothing,2026-01-01 08:49:18,0
cf674365-a4c1-4966-a682-c0fb159e9c9f,9,5098.17,Mumbai,Clothing,2026-01-01 09:22:23,0
b6e0e668-451b-4473-8d35-67048b1ff501,265,9735.53,Chennai,Clothing,2026-01-01 09:23:06,0
46c3e497-3546-4cb1-a8c9-aa31a05ff5e6,215,2383.64,Hyderabad,Clothing,2026-01-01 09:39:23,0
c92215cd-8641-4c79-a90f-0aace82ae245,282,5234.24,Kolkata,Food,2026-01-01 09:41:50,0
dd75b114-eb59-4057-a876-d508da53be50,43,10585.51,Chennai,Clothing,2026-01-01 10:26:10,0
54f5e2f0-9e9a-4e40-ba49-ccd561853b1a,269,2316.22,Jaipur,Travel,2026-01-01 11:23:03,0
4c4b6f67-ba3c-4c84-8901-6a1b6d5606d3,275,1418.32,Hyderabad,Food,2026-01-01 11:23:13,0
ca3df68e-501f-4252-b4f4-a51051f514cc,347,215.52,Hyderabad,Food,2026-01-01 12:07:57,0
8b5af1d2-7256-4a3e-b5e8-ea6ea335edb8,272,11695.68,Pune,Groceries,2026-01-01 12:08:23,0
a6f20f6a-aaea-4217-9bc6-9d21cf055ebe,399,11280.62,Jaipur,Clothing,2026-01-01 12:09:03,0
7fc4bd3f-84c0-4bed-9732-bacd8090661f,379,9815.8,Kolkata,Groceries,2026-01-01 12:18:19,0
864a832a-b9e3-4584-9d2f-8c0900a62f7b,270,2282.8,Hyderabad,Groceries,2026-01-01 12:31:39,0
d92d9519-9e24-4724-a47a-7b03768ae6fb,110,6869.22,Hyderabad,Food,2026-01-01 12:59:59,0
58090bcf-c565-466a-8b5c-f4732dd7549e,31,5027.23,Pune,Groceries,2026-01-01 13:12:21,0
684f1e52-22f1-4aad-8752-d9fbe4cb277f,284,11823.25,Hyderabad,Food,2026-01-01 13:19:15,0
73cc9ff1-dbcf-4223-a478-4edc384e64f5,172,21417.0,Pune,Clothing,2026-01-01 13:30:50,0
356766ec-33c4-4cd1-b44f-8e12d18b621e,214,4908.57,Bangalore,Groceries,2026-01-01 13:41:51,0
17efbc92-ae21-4ba1-b9e6-142a10d1884d,370,11409.43,Kolkata,Travel,2026-01-01 13:54:09,0
9b5c4685-dff7-41b5-9994-37b73c37fd4e,232,6456.17,Chennai,Clothing,2026-01-01 14:17:26,0
